,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
38,0.12118459,0.084368944,0.015339851,-0.0061359406,-0.052155256,-0.69489336,-1.1873014,0.33479786,1.3499031,0.23316503,-0.018450022,0.74551463,1.1842332,0.3066784,1.3560393,-0.23163104,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0.15033007,0.05675721,0.015339851,-0.0061359406,-0.05062127,-0.6611457,-1.1811655,0.3681898,1.3499031,0.23163104,-0.0153820515,0.71636915,1.1811652,0.33391917,1.3560393,-0.23469901,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.17640781,0.023009777,0.013805866,-0.0076699257,-0.05062127,-0.6335342,-1.1734955,0.40158176,1.3514371,0.22702909,-0.0153820515,0.6887574,1.1734953,0.36115992,1.3560393,-0.23776698,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.19021368,0.0030679703,0.0030679703,-0.0076699257,-0.046019316,-0.6151264,-1.1673596,0.42003512,1.3529711,0.22242713,-0.012313843,0.6718836,1.1688933,0.3769772,1.3575733,-0.24083495,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0.22089314,-0.033747673,-0.018407822,-0.009203911,-0.036815643,-0.58444667,-1.1566217,0.45166957,1.359107,0.21629119,-0.012313843,0.64273787,1.1596895,0.40333915,1.3606408,-0.2454369,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0.25310683,-0.06902909,-0.036815643,-0.012271881,-0.026077747,-0.55376697,-1.1458838,0.48418283,1.365243,0.21015549,-0.0077118874,0.6135924,1.1489516,0.43058002,1.3698447,-0.25310683,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0.27458262,-0.102776766,-0.046019316,-0.023009777,-0.019941807,-0.5230875,-1.1351459,0.5184535,1.3698449,0.20401955,-0.0077118874,0.58444667,1.1397479,0.45694196,1.3759806,-0.25924277,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0.29299045,-0.12118459,-0.05368924,-0.029145718,-0.013805866,-0.50774765,-1.12901,0.53690684,1.3713789,0.20095158,-0.0015759468,0.5691068,1.1320779,0.47188056,1.3759806,-0.26077676,0.009161949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,0.31753397,-0.1472621,-0.06749511,-0.03834963,-0.0061359406,-0.47706795,-1.1152041,0.5694201,1.3759809,0.19481564,-0.0015759468,0.53996134,1.119806,0.4982425,1.3790486,-0.2669127,0.007627964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.34207773,-0.1672039,-0.07976699,-0.0475533,0.0046019554,-0.4448545,-1.1013982,0.60193324,1.3821167,0.18407774,-0.0015759468,0.50928164,1.1090682,0.52460456,1.3897865,-0.2761166,0.007627964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0.36815548,-0.18100977,-0.090504885,-0.061359167,0.013805866,-0.41570878,-1.0891263,0.6335677,1.3851846,0.17947578,-4.196167E-05,0.48013592,1.0983303,0.5509666,1.3943884,-0.28225255,0.007627964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0.38809705,-0.18407774,-0.099708796,-0.07056308,0.021475792,-0.394233,-1.0799224,0.65817225,1.3851846,0.17487383,0.0045599937,0.45866036,1.0906603,0.5720563,1.3959224,-0.28378654,0.007627964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0.4019029,-0.18407774,-0.10891271,-0.07363105,0.030679703,-0.36355352,-1.0768545,0.688928,1.3882526,0.16873789,0.0030260086,0.43104863,1.0799224,0.59490335,1.4035923,-0.28992248,0.0045599937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
